product_name	brands	nutrition_grade_fr	pnns_groups_1	energy_100g	fat_100g	saturated_fat_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	nutrition_score_fr_100g	sel_100g
Ekologisk Sas Tomat	Ikea	C	matieres grasses et les sauces	74.09177820267686	3.5	0.3	8.5	5.5	0.421	1.5	4.0	0.83058
Sirop Pêche Prune Coing	Moulin de Valdonne	B	a renseigner	41.347992351816444	0.0	0.0	10.2	10.2	0.05	0.0	2.0	0.0
Sushi Maki Kawaï	Picard,Cuisine évasion	C	aliments composes	40.391969407265776	6.02	2.04	21.8	4.84	1.58	6.11	4.0	1.43
Mayonnaise	Quick,Soreal	B	matieres grasses et les sauces	96.5583173996176	10.6	0.9	0.03	0.01	1.32	0.2	1.0	0.2
Double concentré de tomate Bio (28%) (Voir 3478820003186)	Jardin BIO',Léa Nature	B	fruits et legumes	96.5583173996176	1.0	0.0	16.8	14.3	0.13	4.8	1.0	1.05918
Moyen Coca Cola Light	McDonald's,Coca Cola	B	boissons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coca Cola Zero (40cl)	Coca Cola Zero,Mcdonald's	B	boissons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
VRAI LA LAITERIE FAMILIALE	VRAI LA LAITERIE FAMILIALE	B	lait et les produits laitiers	86.28107074569789	5.8	3.9	3.8	2.9	0.191	4.8	2.0	0.1
Bière blonde	Kronenbourg	D	a renseigner	34.894837476099426	0.0	0.0	2.5	0.2	0.11000000000000001	0.4	6.0	0.03
Champignons de Paris Pieds & Morceaux	Saint Eloi,Intermarché	B	fruits et legumes	12.4282982791587	0.5	0.1	0.5	0.5	0.315	1.9	1.0	0.55
Tropical Vitaminé	Sun	E	boissons	36.5678776290631	0.1	0.0	8.8	7.9	0.01	0.1	12.0	0.025
Boisson lactée à base de yaourt aromatisée fraise-banane	Milbona	B	lait et les produits laitiers	81.50095602294455	0.9	0.5	14.2	13.8	0.06999999999999999	3.3	2.0	0.15
Badoit citron vert	Badoit	B	boissons	0.4780114722753346	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.045
Aloe Vera (Aloe Honey Tea)	Santé Nat	C	collation sucree	63.81453154875717	0.0	0.0	66.6	65.3	4.359999999999999	0.2	10.0	0.085
confiture abricots	bonne maman	B	collation sucree	29.875717017208412	11.0	3.0	51.0	28.0	2.0	9.0	0.0	0.0
Velouté de Tomates 	Les Printanières,Soup'idéale	C	fruits et legumes	38.47992351816443	0.5	0.4	7.4	1.7	0.85	0.6	3.0	0.73
Velouté de Carottes à la crème	Les Printanières,Soup'idéale	C	fruits et legumes	32.50478011472275	0.9	0.5	5.0	1.9	0.54	0.6	3.0	0.73
Novly au Chocolat	Nova	C	lait et les produits laitiers	90.82217973231357	0.8	0.5	17.7	15.5	0.45999999999999996	2.7	3.0	0.13
Colin d'Alaska sauce citron et riz aux légumes	La cuisine des Saveurs,Aldi	B	aliments composes	99.4263862332696	2.8	2.0	11.0	0.8	0.9100000000000001	6.8	1.0	0.7
Yaourt Sucré Aromatisé Yoplait Goût Framboise	Yoplait,Yoplait Restauration	B	lait et les produits laitiers	67.39961759082217	1.0	0.7	10.1	10.0	0.32	3.4	0.0	0.13
Yaourt Sucré Aromatisé Yoplait Goût Abricot	Yoplait,Yoplait Restauration	B	lait et les produits laitiers	67.39961759082217	1.0	0.7	10.1	10.0	0.32	3.4	0.0	0.13
Cup a soup	Knorr	C	a renseigner	38.718929254302104	0.8	0.3	7.0	3.6	0.85	1.2	3.0	0.83
Yaourt BIO	Exki	C	a renseigner	92.97323135755258	2.988	1.7	13.27	12.7	0.0	3.0	3.0	0.13
Yaourt Bio	Exki	B	a renseigner	92.97323135755258	2.7199999999999998	1.7	13.66	12.7	0.0	3.4	2.0	0.13
Levure chimique	Belbake	D	a renseigner	87.47609942638623	0.1	0.0	21.4	0.0	0.62	0.1	11.0	44.8
Sauce tomate bolognaise	Combino	C	matieres grasses et les sauces	84.13001912045888	4.3	1.8	6.8	5.1	0.582	3.9	7.0	1.4
Champignons I. Wahl, ganze Köpfe	Freshona	B	fruits et legumes	19.59847036328872	0.5	0.1	0.5	0.1	0.9099999999999999	2.3	2.0	0.7
Süssstofftabletten Cologran	Lidl	C	a renseigner	20.076481835564053	0.0	0.0	0.2	0.2	0.0	0.0	10.0	34.15
Lait Demi écrème	Landfein	B	a renseigner	45.88910133843212	1.5350000000000001	1.0	4.799999999999999	4.8	0.0	3.2	0.0	0.13
Chair de crabe	Nixe	B	poisson viande oeufs	60.22944550669216	0.6	0.2	1.5	1.3	0.13999999999999999	12.0	1.0	1.5
Flageolets verts extra fins	Freshona	B	cereales et pommes de terre	81.02294455066921	1.34	0.2	10.15	1.6	0.0	5.5	1.0	0.75
Jambon cuit et fumé (XXL)	Dulano	D	poisson viande oeufs	99.90439770554492	2.0	0.8	1.0	0.9	0.3	19.0	11.0	2.5
Freeway Lemon	Freeway	E	boissons	38.95793499043977	0.0	0.1	9.3	9.1	0.0	0.1	13.0	0.0
Carottes Râpées à la Ciboulette	Lidl	C	aliments composes	77.67686424474186	5.0	0.4	5.7	5.5	0.78	1.0	3.0	0.5
Gratin Dauphinois	Duc de Cœur	C	aliments composes	80.78393881453155	3.0	2.2	11.3	0.4	0.301	1.4	6.0	0.9
Panaché	Finkbraü	D	a renseigner	29.875717017208412	0.1	0.1	6.5	6.0	0.05	0.05	9.0	0.01
sauce tomate au basilic	combino,Lidl	C	matieres grasses et les sauces	44.93307839388145	1.2	0.2	6.2	4.4	0.61	1.3	4.0	1.05
Sauce tomate aux olives	Combino	C	matieres grasses et les sauces	61.90248565965583	3.5	0.6	4.3	3.9	0.001	1.3	5.0	1.2
Yaourt Pêche-Passion	Milbona	C	lait et les produits laitiers	99.66539196940727	2.8	1.9	14.9	13.6	0.030000000000000006	2.6	4.0	0.18
Yaourt abricot	Milbona	C	lait et les produits laitiers	95.36328871892925	2.8	1.9	13.9	12.8	0.03	2.6	3.0	0.15
Le Yaourt Saveur Vanille (4 Pots)	KingFrais,Lidl Stiftung & Co. KG	C	lait et les produits laitiers	90.82217973231357	3.0	2.0	12.9	12.9	0.0	3.0	3.0	0.11
Poivrons grillés	Freshona,Lidl	B	fruits et legumes	38.95793499043977	0.3	0.1	6.9	6.9	0.542	0.8	1.0	1.18
Apple juice	Solevita	E	boissons	38.0019120458891	0.06	0.0	9.237	9.1	0.0	0.0	13.0	0.01
Lait demi-écrémé	Milbona,Lidl Stiftung & Co. KG	B	lait et les produits laitiers	47.801147227533455	1.5	1.1	5.0	5.0	0.05	3.5	0.0	0.13
Boisson lactée à base de yaourt aromatisée pêche fruit de la passion	Milbona	B	lait et les produits laitiers	78.39388145315488	0.9	0.5	13.4	13.1	0.1	3.3	0.0	0.15
Mimosa - Vanille praliné	Mimosa,Ysco	C	lait et les produits laitiers	92.97323135755258	4.2	3.7	12.4	12.3	0.22000000000000003	1.3	6.0	0.03
Sauce Süss sauer	Vitalia	D	a renseigner	91.06118546845124	0.5800000000000001	0.1	19.189999999999998	15.0	0.0	0.2	14.0	2.3
Mune beans	Asia China	B	cereales et pommes de terre	43.26003824091778	0.5	0.3	5.4	1.0	0.9810000000000001	3.1	2.0	0.76
